"Natasza Grubba","Osipiuk-W³odyka Sp. z o.o.","7213376968","29387834006929"
"pan Fryderyk Kobos","Grupa Dziurla Sp.j.","4397805402","77392730481815"
"Julianna Sajewicz","Grupa Bisaga-Jachna S.A.","7519901227","01768412350767"
"Malwina Grabara","Poczta-Be³za Sp.k.","7579125637","27661231587425"
"Malwina Sajda","S³owiak-Owczarczak Sp.k.","2190300030","59487219780950"
"pan Emil Walenciak","FPUH Drewniok Sp. z o.o. Sp.k.","1544103089","39682719000322"
"Jan Siekierka","PPUH Durlak","2478503182","79557669059807"
"Cezary Parus","Nyk-Krekora s.c.","3522597493","21040741426267"
"Aurelia Strojna","Stowarzyszenie Kosowicz Sp. z o.o.","5989495798","89243210251602"
"Stefan Wosiek","Kafel-Patalas Sp. z o.o. Sp.k.","5589704353","85510297438281"
